wd_name,cluster,ra,dec,coord_source,gaiadr3,gaia_supported,logg,logg_err_plus,logg_err_minus,teff,teff_err_plus,teff_err_minus,spectrum_fit_source,mass,mass_err_plus,mass_err_minus,tcool,tcool_err_plus,tcool_err_minus,rad,rad_err_plus,rad_err_minus,prog_mass,prog_mass_err_plus,prog_mass_err_minus,ifmr_source,simbad_name,miller2026a_name,miller2026a_literature_name
NGC2168-WD-J060911+240241,NGC 2168,92.298937,24.044885,simbad,,n,8.61,0.06,0.06,30100,400,400,2018ApJ...866...21C,1.01,0.03,0.04,64.0,12.0,11.0,5700,300,300,4.5,0.3,0.4,2026ApJ...996...69M,LAWDS NGC 2168 15,,NGC 2168-LAWDS15
NGC2168-WD-J060911+242720,NGC 2168,92.298102,24.455742,gaiadr3,3426295183834581376,n,8.21,0.06,0.06,52700,900,900,2018ApJ...866...21C,0.8,0.03,0.03,1.49,0.08,0.07,8100,400,400,3.9,0.16,0.21,2026ApJ...996...69M,Gaia DR3 3426295183834581376,,NGC 2168-LAWDS5
NGC2168-WD-J060915+243315,NGC 2168,92.312917,24.554186,simbad,,n,8.57,0.06,0.06,30500,450,450,2018ApJ...866...21C,0.99,0.04,0.04,53.0,11.0,11.0,5900,300,300,4.4,0.03,0.03,2026ApJ...996...69M,LAWDS NGC 2168 14,,NGC 2168-LAWDS14
NGC2168-WD-J060923+242721,NGC 2168,92.347811,24.456044,gaiadr3,3426294977676135168,n,8.05,0.06,0.06,57300,1000,1000,2018ApJ...866...21C,0.72,0.03,0.03,1.31,0.07,0.06,9300,500,400,3.9,0.15,0.21,2026ApJ...996...69M,Gaia DR3 3426294977676135168,,NGC 2168-LAWDS6
NGC2168-WD-J060931+241905,NGC 2168,92.379997,24.318314,simbad,,n,8.6,0.06,0.06,34200,500,500,2018ApJ...866...21C,1.01,0.03,0.04,32.0,9.0,8.0,5800,300,300,4.2,0.2,0.3,2026ApJ...996...69M,LAWDS NGC 2168 12,,NGC 2168-LAWDS12
NGC2168-WD-J060942+241105,NGC 2168,92.428279,24.18475,simbad,,n,8.35,0.05,0.05,19900,350,350,2018ApJ...866...21C,0.84,0.03,0.03,158.0,15.0,17.0,7000,300,300,7.2,1.7,1.7,2026ApJ...996...69M,LAWDS NGC 2168 11,,NGC 2168-LAWDS11
NGC2287-WD-J064520-203119,NGC 2287,101.336111,-20.522091,gaiadr3,2927203353930175232,n,8.45,0.05,0.05,25900,350,350,2018ApJ...866...21C,0.91,0.03,0.03,76.0,11.0,10.0,6500,300,300,4.7,0.3,0.2,2026ApJ...996...69M,Gaia DR3 2927203353930175232,,NGC 2287-2
NGC2287-WD-J064601-203203,NGC 2287,101.504509,-20.534289,gaiadr3,2927020766282196992,n,8.71,0.05,0.05,26500,350,350,2018ApJ...866...21C,1.058,0.017,0.023,129.0,12.0,12.0,5200,200,200,5.9,0.6,0.5,2026ApJ...996...69M,Gaia DR3 2927020766282196992,,NGC 2287-4
NGC2287-WD-J064624-204622,NGC 2287,101.601648,-20.772905,gaiadr3,2926996577021773696,n,8.44,0.04,0.04,25600,350,350,2018ApJ...866...21C,0.9,0.03,0.03,77.0,9.0,8.0,6600,200,200,4.7,0.3,0.2,2026ApJ...996...69M,Gaia DR3 2926996577021773696,,NGC 2287-5
NGC2323-WD-J070241-082612,NGC 2323,105.670907,-8.436748,gaiadr3,3051559974457298304,n,8.68,0.09,0.09,52800,1350,1350,2018ApJ...866...21C,1.06,0.03,0.04,1.48,0.02,0.02,5400,500,500,4.0,0.3,0.2,2026ApJ...996...69M,Gaia DR3 3051559974457298304,,NGC 2323-WD10
NGC2323-WD-J070322-081559,NGC 2323,105.842304,-8.266406,gaiadr3,3051568873629418624,n,8.69,0.07,0.07,54100,1000,1000,2018ApJ...866...21C,1.06,0.02,0.03,1.3,0.13,0.17,5400,400,400,4.0,0.3,0.2,2026ApJ...996...69M,Gaia DR3 3051568873629418624,,NGC 2323-WD11
NGC2516-WD-J074601-610314,NGC 2516,116.506469,-61.054128,gaiadr3,5289447182180342016,y,8.58,0.03,0.03,28780,130,130,2026ApJ...996...69M,0.99,0.018,0.018,71.0,6.0,6.0,5880,150,150,4.67,0.17,0.4,2026ApJ...996...69M,Gaia DR3 5289447182180342016,NGC 2516 WD4,
NGC2516-WD-J074906-594754,NGC 2516,117.277754,-59.798462,gaiadr3,5294015515555860608,y,9.02,0.07,0.07,32900,180,180,2026ApJ...996...69M,1.19,0.03,0.03,120.0,20.0,20.0,3900,300,300,5.6,0.7,0.8,2026ApJ...996...69M,Gaia DR3 5294015515555860608,NGC 2516 WD5,
NGC2516-WD-J075703-605452,NGC 2516,119.262966,-60.914617,gaiadr3,5290719287073728128,y,8.46,0.04,0.04,29100,350,350,2018ApJ...866...21C,0.92,0.02,0.02,45.0,7.0,7.0,6500,200,200,4.36,0.15,0.33,2026ApJ...996...69M,Gaia DR3 5290719287073728128,NGC 2516 WD6,NGC 2516-3
NGC2516-WD-J075750-604954,NGC 2516,119.460988,-60.831843,gaiadr3,5290720695823013376,y,8.55,0.07,0.07,35500,550,550,2018ApJ...866...21C,0.98,0.04,0.04,20.0,9.0,7.0,6100,400,400,4.12,0.12,0.28,2026ApJ...996...69M,Gaia DR3 5290720695823013376,NGC 2516 WD3,NGC 2516-2
NGC2516-WD-J075753-602849,NGC 2516,119.473983,-60.480321,gaiadr3,5290834387897642624,y,8.54,0.05,0.05,32200,400,400,2018ApJ...866...21C,0.97,0.03,0.03,36.0,8.0,7.0,6100,300,300,4.27,0.13,0.31,2026ApJ...996...69M,Gaia DR3 5290834387897642624,NGC 2516 WD2,NGC 2516-5
NGC2516-WD-J075849-604823,NGC 2516,119.704802,-60.806391,gaiadr3,5290767695648992128,y,8.47,0.04,0.04,30100,350,350,2018ApJ...866...21C,0.93,0.02,0.02,39.0,7.0,6.0,6500,200,200,4.29,0.14,0.32,2026ApJ...996...69M,Gaia DR3 5290767695648992128,NGC 2516 WD1,NGC 2516-1
NGC2682-WD-J085058+114538,NGC 2682,132.744208,11.760778,simbad,,n,7.989,0.104,0.104,8830,144,144,2018ApJ...867...62W;2021AJ....161..169C,0.59,0.07,0.06,1840.0,130.0,820.0,8900,600,600,1.65,0.04,0.18,2026ApJ...996...69M,[WCB2018] WD6,,M67:WD6
NGC2682-WD-J085105+114358,NGC 2682,132.772292,11.732778,simbad,,n,7.918,0.059,0.059,13720,493,493,2018ApJ...867...62W;2021AJ....161..169C,0.56,0.03,0.03,260.0,30.0,30.0,9500,400,400,1.371,0.011,0.034,2026ApJ...996...69M,[WCB2018] WD9,,M67:WD9
NGC2682-WD-J085112+115231,NGC 2682,132.800455,11.875429,simbad,,n,8.03,0.059,0.059,13390,294,294,2018ApJ...867...62W;2021AJ....161..169C,0.63,0.04,0.03,340.0,20.0,30.0,8800,400,300,1.381,0.012,0.035,2026ApJ...996...69M,[WCB2018] WD14,,M67:WD14
NGC2682-WD-J085121+115043,NGC 2682,132.838843,11.845402,simbad,,n,8.036,0.06,0.06,11360,201,201,2018ApJ...867...62W;2021AJ....161..169C,0.63,0.04,0.04,540.0,40.0,30.0,8700,400,300,1.407,0.013,0.038,2026ApJ...996...69M,[WCB2018] WD17,,M67:WD17
NGC2682-WD-J085121+115444,NGC 2682,132.838542,11.912389,simbad,,n,8.035,0.083,0.083,10030,163,163,2018ApJ...867...62W;2021AJ....161..169C,0.62,0.05,0.04,760.0,80.0,40.0,8700,500,500,1.438,0.017,0.041,2026ApJ...996...69M,[WCB2018] WD16,,M67:WD16
NGC2682-WD-J085140+114030,NGC 2682,132.920667,11.675139,simbad,,n,7.934,0.072,0.072,9580,146,146,2018ApJ...867...62W;2021AJ....161..169C,0.56,0.04,0.04,700.0,40.0,20.0,9300,400,400,1.433,0.014,0.04,2026ApJ...996...69M,[WCB2018] WD26,,M67:WD26
NGC2682-WD-J085140+114600,NGC 2682,132.919026,11.766888,simbad,,n,7.977,0.045,0.045,20440,308,308,2018ApJ...867...62W;2021AJ....161..169C,0.61,0.03,0.03,59.0,8.0,4.0,9300,300,300,1.347,0.01,0.03,2026ApJ...996...69M,[WCB2018] WD25,,M67:WD25
NGC3532-WD-J110315-582144,NGC 3532,165.81298,-58.36227,gaiadr3,5338718261060841472,y,8.34,0.04,0.04,26300,350,350,2018ApJ...866...21C,0.84,0.02,0.02,50.0,7.0,7.0,7100,200,200,3.29,0.12,0.14,2026ApJ...996...69M,Gaia DR3 5338718261060841472,NGC 3532 WD8,NGC 3532-10
NGC3532-WD-J110337-581840,NGC 3532,165.905413,-58.311176,gaiadr3,5340219811654824448,y,8.18,0.04,0.04,31900,400,400,2018ApJ...866...21C,0.75,0.02,0.02,8.5,0.8,0.5,8100,200,200,3.16,0.1,0.12,2026ApJ...996...69M,Gaia DR3 5340219811654824448,NGC 3532 WD6,NGC 3532-9
NGC3532-WD-J110535-585226,NGC 3532,166.399212,-58.873996,gaiadr3,5338652084186678400,y,8.52,0.04,0.04,23100,300,300,2018ApJ...866...21C,0.95,0.02,0.02,136.0,13.0,10.0,6200,200,200,3.67,0.18,0.22,2026ApJ...996...69M,Gaia DR3 5338652084186678400,NGC 3532 WD7,NGC 3532-1
NGC3532-WD-J110539-583539,NGC 3532,166.415682,-58.594368,gaiadr3,5340165355769599744,y,8.01,0.06,0.06,19500,300,300,2026ApJ...996...69M,0.63,0.03,0.03,82.0,10.0,14.0,9000,400,400,3.41,0.13,0.17,2026ApJ...996...69M,Gaia DR3 5340165355769599744,NGC 3532 WD2,
NGC3532-WD-J110604-585519,NGC 3532,166.517257,-58.922187,gaiadr3,5338650984675000448,y,8.28,0.05,0.05,27700,350,350,2018ApJ...866...21C,0.81,0.03,0.03,28.0,7.0,5.0,7500,300,300,3.22,0.1,0.13,2026ApJ...996...69M,Gaia DR3 5338650984675000448,,NGC 3532-5
NGC3532-WD-J110618-590517,NGC 3532,166.576379,-59.088116,gaiadr3,5338636244376571136,n,8.48,0.05,0.05,21100,350,350,2018ApJ...866...21C,0.92,0.03,0.03,169.0,16.0,16.0,6400,300,300,3.9,0.2,0.3,2026ApJ...996...69M,Gaia DR3 5338636244376571136,,NGC 3532-J1106-590
NGC3532-WD-J110651-584348,NGC 3532,166.715058,-58.730264,gaiadr3,5340149103605412992,y,8.52,0.05,0.05,20200,300,300,2018ApJ...866...21C,0.94,0.03,0.03,208.0,21.0,18.0,6200,300,200,4.2,0.3,0.4,2026ApJ...996...69M,Gaia DR3 5340149103605412992,,NGC 3532-J1106-584
NGC3532-WD-J110721-584212,NGC 3532,166.841471,-58.703462,gaiadr3,5340148691289324416,n,8.59,0.05,0.05,20700,300,300,2018ApJ...866...21C,0.99,0.03,0.03,220.0,20.0,20.0,5800,200,200,4.3,0.04,0.04,2026ApJ...996...69M,Gaia DR3 5340148691289324416,,NGC 3532-J1107-584
NGC3532-WD-J110912-575458,NGC 3532,167.302305,-57.916324,gaiadr3,5340288226187644160,y,8.38,0.03,0.03,23000,200,200,2026ApJ...996...69M,0.861,0.019,0.019,101.0,8.0,7.0,6900,160,160,3.49,0.15,0.18,2026ApJ...996...69M,Gaia DR3 5340288226187644160,NGC 3532 WD9,
NGC3532-WD-J110933-583930,NGC 3532,167.391188,-58.658448,gaiadr3,5339402672685054720,y,8.43,0.03,0.03,21140,190,190,2026ApJ...996...69M,0.89,0.019,0.019,151.0,9.0,8.0,6620,160,160,3.7,0.2,0.2,2026ApJ...996...69M,Gaia DR3 5339402672685054720,NGC 3532 WD4,
NGC6121-WD-J162341-262953,NGC 6121,245.921667,-26.498333,simbad,,n,7.789,0.069,0.069,26250,500,500,2018ApJ...866...21C,0.53,0.03,0.03,15.1,1.3,2.5,10700,500,500,0.89,0.02,0.02,2026ApJ...996...69M,[DRR2009] LRIS-24,,NGC 6121 WD24
NGC6121-WD-J162341-263253,NGC 6121,245.9225,-26.548056,simbad,,n,7.767,0.072,0.072,28850,500,500,2018ApJ...866...21C,0.53,0.03,0.03,10.5,0.8,1.1,10900,600,600,0.89,0.02,0.02,2026ApJ...996...69M,[DRR2009] LRIS-05,,NGC 6121 WD05
NGC6121-WD-J162342-263239,NGC 6121,245.92625,-26.544167,simbad,,n,7.903,0.069,0.069,26350,500,500,2018ApJ...866...21C,0.59,0.04,0.03,15.5,1.4,1.8,9900,500,500,0.89,0.02,0.02,2026ApJ...996...69M,[DRR2009] LRIS-06,,NGC 6121 WD06
NGC6121-WD-J162346-263032,NGC 6121,245.94375,-26.508889,simbad,,n,7.792,0.084,0.084,21050,550,550,2018ApJ...866...21C,0.52,0.04,0.04,39.0,4.0,5.0,10500,600,600,0.89,0.02,0.02,2026ApJ...996...69M,[DRR2009] LRIS-20,,NGC 6121 WD20
NGC6121-WD-J162349-263332,NGC 6121,245.957917,-26.558889,simbad,,n,7.771,0.076,0.076,20900,500,500,2018ApJ...866...21C,0.51,0.04,0.03,35.0,6.0,3.0,10700,600,500,0.89,0.02,0.02,2026ApJ...996...69M,[DRR2009] LRIS-00,,NGC 6121 WD00
NGC6121-WD-J162351-263108,NGC 6121,245.9625,-26.518889,simbad,,n,7.887,0.081,0.081,24600,600,600,2018ApJ...866...21C,0.57,0.04,0.04,21.0,2.0,2.0,9900,600,600,0.89,0.02,0.02,2026ApJ...996...69M,[DRR2009] LRIS-15,,NGC 6121 WD15
NGC6121-WD-J162351-263303,NGC 6121,245.96375,-26.551111,simbad,,n,7.776,0.074,0.074,25450,550,550,2018ApJ...866...21C,0.52,0.04,0.03,16.9,1.1,1.3,10800,600,500,0.89,0.02,0.02,2026ApJ...996...69M,[DRR2009] LRIS-04,,NGC 6121 WD04
NGC6819-WD-J194119+400256,NGC 6819,295.333167,40.048917,simbad,,n,7.944,0.051,0.051,21700,350,350,2018ApJ...866...21C,0.6,0.03,0.03,39.0,9.0,3.0,9500,300,300,1.58,0.03,0.03,2026ApJ...996...69M,Cl* NGC 6819 KHK 6,,NGC 6819-6
NGC6991-WD-J205401+474810,NGC 6991,313.504822,47.802852,gaiadr3,2166915179559503232,y,8.03,0.04,0.04,32900,200,200,Miller2026b_massgap,0.67,0.02,0.02,6.82,0.17,0.16,9100,300,300,2.12,0.04,0.15,Miller2026b_massgap,Gaia DR3 2166915179559503232,,
NGC752-WD-J015905+380337,NGC 752,29.772747,38.060551,gaiadr3,342902771504611712,y,8.12,0.04,0.04,15500,250,250,2020NatAs...4.1102M,0.69,0.03,0.02,237.0,12.0,19.0,8300,200,200,1.97,0.18,0.09,2026ApJ...996...69M,Gaia DR3  342902771504611712,,N752-WD1
